Timestamp,Ticker,Timeframe,Setup_Type,Quality_Score,ATR_Risk_Score,Trigger_Price,Invalidation_Level,Risk_Amount,Est_Position_Size,Chart_Path,Trade_Taken,Outcome_R
2026-03-18 21:50:03,FICO,1wk,FairValueGapDetector - Bearish,2.34,0.61,1371.969970703125,1461.699951171875,50.0,0.5572,C:\Users\likel\source\Screener\plots\FICO_FairValueGapDetector_1wk_20260318_215003.png,,
2026-03-18 21:50:10,APA,1wk,FairValueGapDetector - Bullish,1.36,0.82,33.41999816894531,31.520000457763672,50.0,26.3158,C:\Users\likel\source\Screener\plots\APA_FairValueGapDetector_1wk_20260318_215010.png,,
2026-03-18 21:50:16,LW,1wk,FairValueGapDetector - Bearish,1.49,0.45,44.88999938964844,46.7599983215332,50.0,26.738,C:\Users\likel\source\Screener\plots\LW_FairValueGapDetector_1wk_20260318_215016.png,,
2026-03-18 21:50:20,SW,1wk,FairValueGapDetector - Bearish,1.21,0.22,42.5,43.25,50.0,66.6667,C:\Users\likel\source\Screener\plots\SW_FairValueGapDetector_1wk_20260318_215020.png,,
2026-03-18 21:50:30,ULTA,1wk,FairValueGapDetector - Bearish,2.04,0.47,637.3699951171875,657.3200073242188,50.0,2.5063,C:\Users\likel\source\Screener\plots\ULTA_FairValueGapDetector_1wk_20260318_215030.png,,
2026-03-18 21:50:35,DG,1wk,FairValueGapDetector - Bearish,1.46,0.49,144.52000427246094,149.22999572753906,50.0,10.6157,C:\Users\likel\source\Screener\plots\DG_FairValueGapDetector_1wk_20260318_215035.png,,
2026-03-18 21:50:39,DVN,1wk,FairValueGapDetector - Bullish,1.9,0.74,45.323276362692894,43.20434209056752,50.0,23.5968,C:\Users\likel\source\Screener\plots\DVN_FairValueGapDetector_1wk_20260318_215039.png,,
2026-03-18 21:50:41,URI,1wk,FairValueGapDetector - Bearish,1.31,0.49,792.010009765625,826.510009765625,50.0,1.4493,C:\Users\likel\source\Screener\plots\URI_FairValueGapDetector_1wk_20260318_215041.png,,
2026-03-18 21:50:43,GIS,1wk,FairValueGapDetector - Bearish,1.38,0.47,43.06999969482422,44.29999923706055,50.0,40.6504,C:\Users\likel\source\Screener\plots\GIS_FairValueGapDetector_1wk_20260318_215043.png,,
2026-03-18 21:51:06,BF-B,1wk,FairValueGapDetector - Bearish,1.33,0.22,24.880371445894824,25.346073890393836,50.0,107.3647,C:\Users\likel\source\Screener\plots\BF-B_FairValueGapDetector_1wk_20260318_215106.png,,
2026-03-18 21:51:12,PSKY,1wk,FairValueGapDetector - Bearish,1.5,0.21,11.2717180069888,11.540329371627742,50.0,186.1425,C:\Users\likel\source\Screener\plots\PSKY_FairValueGapDetector_1wk_20260318_215112.png,,
2026-03-18 21:51:19,CVX,1wk,FairValueGapDetector - Bullish,1.62,0.92,192.41000366210938,185.63999938964844,50.0,7.3855,C:\Users\likel\source\Screener\plots\CVX_FairValueGapDetector_1wk_20260318_215119.png,,
2026-03-18 21:51:22,LYB,1wk,FairValueGapDetector - Bullish,2.1,0.71,68.05372626744621,64.18000030517578,50.0,12.9075,C:\Users\likel\source\Screener\plots\LYB_FairValueGapDetector_1wk_20260318_215122.png,,
2026-03-18 21:51:30,AMCR,1wk,FairValueGapDetector - Bearish,1.23,0.1,42.52000045776367,42.79999923706055,50.0,178.5722,C:\Users\likel\source\Screener\plots\AMCR_FairValueGapDetector_1wk_20260318_215129.png,,
2026-03-18 21:51:34,CAG,1wk,FairValueGapDetector - Bearish,1.66,0.6,18.399999618530273,19.100000381469727,50.0,71.4285,C:\Users\likel\source\Screener\plots\CAG_FairValueGapDetector_1wk_20260318_215134.png,,
2026-03-18 21:51:51,OTIS,1wk,FairValueGapDetector - Bearish,1.22,0.05,88.47000122070312,88.69499969482422,50.0,222.2237,C:\Users\likel\source\Screener\plots\OTIS_FairValueGapDetector_1wk_20260318_215151.png,,
2026-03-18 21:51:59,GPC,1wk,FairValueGapDetector - Bearish,1.94,0.32,112.15267159906006,114.77999877929688,50.0,19.0307,C:\Users\likel\source\Screener\plots\GPC_FairValueGapDetector_1wk_20260318_215159.png,,
2026-03-18 21:52:03,CPB,1wk,FairValueGapDetector - Bearish,2.18,0.48,24.860000610351562,25.670000076293945,50.0,61.7284,C:\Users\likel\source\Screener\plots\CPB_FairValueGapDetector_1wk_20260318_215203.png,,
2026-03-18 21:52:07,CNC,1wk,FairValueGapDetector - Bearish,1.57,0.31,42.61000061035156,43.81999969482422,50.0,41.3223,C:\Users\likel\source\Screener\plots\CNC_FairValueGapDetector_1wk_20260318_215206.png,,
