run_ts,ticker,timeframe,direction,composite_score,wyckoff_score,range_score,volume_score,spring_score,confirmation_score,rs_vs_spy,vol_contraction,mtf_agree,trend_context,data_quality_flag,feat_volume_ratio,feat_volume_pctile,feat_spread_atr,feat_spread_pctile,feat_close_position,made_watchlist,transition
2026-06-17T11:52:50+00:00,AME,daily,distribution,12.83,12.83,-7.62,0.0,0.0,-54.63,,,n/a,-54.63,,0.826,12.0,0.5815,8.0,0.1679,False,none
2026-06-17T11:52:50+00:00,AMGN,daily,distribution,25.82,25.82,-20.23,0.0,-100.0,-3.83,,,n/a,-3.83,,1.288,88.0,0.9142,56.0,0.2529,False,none
2026-06-17T11:52:50+00:00,AMP,daily,distribution,16.37,16.37,-34.38,0.0,0.0,-38.86,,,n/a,-38.86,,1.1065,72.0,1.2305,84.0,0.8489,False,none
2026-06-17T11:52:50+00:00,AMT,daily,none,8.53,8.53,-8.54,0.0,0.0,-31.96,,,n/a,-31.96,,0.9156,28.0,0.7859,36.0,0.2571,False,none
2026-06-17T11:52:50+00:00,AMZN,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8768,24.0,0.563,16.0,0.1355,False,none
2026-06-17T11:52:50+00:00,ANET,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,0.7918,28.0,0.7341,36.0,0.9671,False,none
2026-06-17T11:52:50+00:00,AON,daily,distribution,26.64,26.64,-18.34,0.0,-100.0,-10.28,,,n/a,-10.28,,1.1912,80.0,0.5229,8.0,0.5771,False,none
2026-06-17T11:52:50+00:00,AOS,daily,accumulation,25.47,25.47,0.0,0.0,100.0,27.36,,,n/a,27.36,,0.8151,16.0,0.7254,28.0,0.066,False,none
2026-06-17T11:52:50+00:00,APA,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.4078,88.0,0.432,4.0,0.6866,False,none
2026-06-17T11:52:50+00:00,APD,daily,accumulation,30.78,30.78,44.88,0.0,100.0,-2.19,,,n/a,-2.19,,1.6111,96.0,1.0273,64.0,0.3338,False,none
2026-06-17T11:52:50+00:00,APH,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.7942,16.0,0.7922,44.0,0.3459,False,none
2026-06-17T11:52:50+00:00,APO,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.9137,36.0,0.7858,40.0,0.6527,False,none
2026-06-17T11:52:50+00:00,APP,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.6034,96.0,0.6812,24.0,0.5884,False,none
2026-06-17T11:52:50+00:00,APTV,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.7145,12.0,0.5254,12.0,0.1524,False,none
2026-06-17T11:52:50+00:00,ARE,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.2109,72.0,0.8964,56.0,0.2701,False,none
2026-06-17T11:52:50+00:00,ARES,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,dropped 1 bar(s) with null OHLC,1.0873,64.0,1.3736,96.0,0.0297,False,none
2026-06-17T11:52:50+00:00,ARM,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.1023,60.0,0.9625,60.0,0.0141,False,none
2026-06-17T11:52:50+00:00,ASML,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0288,56.0,0.9839,80.0,0.0163,False,none
2026-06-17T11:52:50+00:00,ATO,daily,accumulation,20.52,20.52,60.16,0.0,0.0,27.43,,,n/a,27.43,,0.6334,12.0,0.7894,32.0,0.2979,False,none
2026-06-17T11:52:50+00:00,AVB,daily,distribution,46.31,46.31,-42.22,0.0,-100.0,-78.76,,,n/a,-78.76,,0.9023,40.0,0.867,52.0,0.2822,False,none
2026-06-17T11:52:50+00:00,AVGO,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.1416,60.0,0.7133,48.0,0.0163,False,none
2026-06-17T11:52:50+00:00,AVY,daily,accumulation,18.88,18.88,0.0,0.0,100.0,-5.58,,,n/a,-5.58,,0.8852,24.0,0.6683,28.0,0.5679,False,none
2026-06-17T11:52:50+00:00,AWK,daily,accumulation,24.71,24.71,0.0,0.0,100.0,23.57,,,n/a,23.57,,1.3657,76.0,0.6617,12.0,0.8541,False,none
2026-06-17T11:52:50+00:00,AXON,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.7093,12.0,0.7819,36.0,0.3976,False,none
2026-06-17T11:52:50+00:00,AXP,daily,distribution,38.55,38.55,-91.49,0.0,0.0,-78.37,,,n/a,-78.37,,1.388,88.0,0.9597,68.0,0.7849,False,none
2026-06-17T11:52:50+00:00,AZO,daily,accumulation,45.86,45.86,24.52,100.0,0.0,23.62,,,n/a,23.62,,1.7345,96.0,0.6924,32.0,0.7599,False,none
2026-06-17T11:52:50+00:00,BA,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.5568,4.0,0.649,24.0,0.438,False,none
2026-06-17T11:52:50+00:00,BAC,daily,distribution,43.34,43.34,-93.34,0.0,0.0,-100.0,,,n/a,-100.0,,0.9737,40.0,0.7751,24.0,0.7262,False,none
2026-06-17T11:52:50+00:00,BALL,daily,accumulation,17.65,17.65,0.0,0.0,100.0,-11.77,,,n/a,-11.77,,0.9151,28.0,0.6563,20.0,0.8471,False,none
2026-06-17T11:52:50+00:00,BAX,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0059,60.0,0.9752,64.0,0.1493,False,none
2026-06-17T11:52:50+00:00,BBY,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8933,28.0,0.9894,84.0,0.0667,False,none
2026-06-17T11:52:50+00:00,BDX,daily,accumulation,32.16,32.16,28.02,0.0,100.0,25.78,,,n/a,25.78,,0.6326,8.0,0.7153,36.0,0.3422,False,none
2026-06-17T11:52:50+00:00,BEN,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0503,64.0,0.6873,32.0,0.8036,False,none
2026-06-17T11:52:50+00:00,BF-B,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.8328,16.0,0.9481,60.0,0.1842,False,none
2026-06-17T11:52:50+00:00,BG,daily,none,6.81,6.81,59.5,0.0,-100.0,-8.41,,,n/a,-8.41,,0.7852,20.0,0.8065,28.0,0.0095,False,none
2026-06-17T11:52:50+00:00,BIIB,daily,distribution,11.77,11.77,-15.9,0.0,0.0,-38.99,,,n/a,-38.99,,1.1889,72.0,1.0499,72.0,0.2524,False,none
2026-06-17T11:52:50+00:00,BKNG,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,1.0616,64.0,0.4619,4.0,0.6207,False,none
2026-06-17T11:52:50+00:00,BKR,daily,none,1.83,1.83,16.45,0.0,0.0,-11.4,,,n/a,-11.4,,0.9252,20.0,0.6151,12.0,0.2,False,none
2026-06-17T11:52:50+00:00,BLDR,daily,none,0.0,0.0,0.0,0.0,0.0,0.0,,,n/a,0.0,,0.6758,8.0,0.6348,12.0,0.2143,False,none
2026-06-17T11:52:50+00:00,BLK,daily,distribution,13.41,13.41,-11.79,0.0,0.0,-52.33,,,n/a,-52.33,,0.7407,16.0,0.758,36.0,0.7473,False,none
